gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
ADGRL4	1	7	0	0	0	7.9052326189619	0	0	0	0.000381393768228322	0.641932426510723	0.0014892736431058	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0111836509279867	0.999931669548502
GNAT2	0	5	0	0	0	11.9504687157785	0	0	0	0.000359121211404467	0.744309897322348	0.00156189752063851	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0116546510081625	0.999931669548502
KHDC3L	0	2	0	0	1	5.90115622410446	0	0	114.637560585079	0.0676408627209766	0.819450668708296	0.182089925940496	0.00860262751552765	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0116840735088275	0.999931669548502
RAD21L1	0	6	0	0	0	9.42873600134115	0	0	0	0.000421075307540431	0.629442259653894	0.00159965383214433	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.011898174059444	0.999931669548502
C2orf78	0	5	0	0	1	4.91246704605475	0	0	27.0758268770825	0.0153032776428796	0.67633598588805	0.0458735515347072	0.0348759512587415	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0118996542299218	0.999931669548502
TEX47	0	2	0	0	1	6.41844430457803	0	0	98.3897173525479	0.0576093952355363	0.828918627268768	0.159983278671385	0.010000474966605	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0118998153429668	0.999931669548502
CXCL1	0	1	0	0	1	6.34169996328871	0	0	231.39803895877	0.169390989093376	0.875588332294814	0.383555298125478	0.00429174511831911	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0121966634534589	0.999931669548502
RBM44	1	6	0	0	1	4.15290817128842	0	0	23.7556922124973	0.0166322104846282	0.552914879085508	0.0430161277481079	0.0394456007642689	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0125206870003398	0.999931669548502
CD300LF	0	2	0	0	1	6.26462564933979	0	0	81.6698961030953	0.0603523181471688	0.766393538382949	0.161876904704833	0.0120084395612452	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0140797139102935	0.999931669548502
CD58	0	0	2	0	0	0	58.758335416877	58.758335416877	0	0.456791032974094	0.000616615253999697	0.00195104557479053	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0141243795464507	0.999931669548502
TSGA10IP	0	0	1	0	1	0	13.7517610509757	13.7517610509757	44.8671242505335	0.252065101181654	0.0718941461750704	0.0919097323641211	0.0215197985211462	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0142916195810809	0.999931669548502
ZNF117	1	0	1	0	1	0	12.1547717187914	12.1547717187914	51.6342731560892	0.266393610299719	0.0814328352425778	0.108251621587397	0.0187839648363929	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0146364736183819	0.999931669548502
ZNF727	0	5	1	0	0	8.53190060336802	14.4548967809402	14.4548967809402	0	0.00160473349444068	0.0679980777686884	0.00206797294688355	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.014850499210412	0.999931669548502
ERBB4	0	6	0	0	1	4.14852468760006	0	0	19.0916640241002	0.0195470090415745	0.542474018527295	0.0480436361016001	0.0483458378352238	0.754057164758681	0.921932594846965	0.944733707419888	1	0.016409993193524	0.999931669548502
OR10D3	0	2	0	0	1	5.78973890456761	0	0	79.8434128036651	0.0701324744737931	0.86189808588725	0.190246106064452	0.012277743052992	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0164893048836109	0.999931669548502
BBS12	1	0	1	0	1	0	11.2362265679465	11.2362265679465	35.1490692089271	0.18800388630607	0.0888958130250065	0.0875122799241705	0.0272117158257484	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0167649690323122	0.999931669548502
ADAMTS9	2	3	3	0	1	1.00710349626707	8.03883722741118	8.03883722741118	12.9085682890223	0.991750314923221	0.0110844973892862	0.0359963709002188	0.0689938087251761	0.995516300723302	0.921932594846965	0.944733707419888	1	0.0173799079534057	0.999931669548502
CYP4B1	0	3	0	0	1	5.02449318706557	0	0	48.715376622899	0.0447786466361422	0.76025494554796	0.125096407108759	0.0198737470038265	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0173955472706526	0.999931669548502
DNAJC24	0	1	0	0	1	5.59264046316836	0	0	166.606588050314	0.194199657702031	0.825419476938176	0.41868588361326	0.00594482762414097	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0174128233990201	0.999931669548502
TTLL7	1	1	2	0	1	0.777244091158472	9.34205514210827	9.34205514210827	28.1430047382288	0.80905414372188	0.0264962541232483	0.0754755861889286	0.0336240084203448	0.888187787315033	0.921932594846965	0.944733707419888	1	0.0177048050567279	0.999931669548502
PTEN	0	1	1	0	1	2.06669557585609	14.7521173923189	14.7521173923189	61.8588817018495	0.53989537015197	0.066468679541242	0.164322976336652	0.0157573342985858	0.759981426121764	0.921932594846965	0.944733707419888	1	0.018012075684082	0.999931669548502
OR13C4	0	2	0	0	1	5.37629562486415	0	0	78.3416558230319	0.0806477972307501	0.841191194122937	0.211903705554264	0.0125083867274362	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0183763710573818	0.999931669548502
CCDC60	0	6	0	0	0	8.58300314938873	0	0	0	0.000679728005229197	0.678249605022792	0.00265120937752361	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0183801436408374	0.999931669548502
CAMSAP3	0	1	0	0	2	0.559293248993207	0	0	39.1401538097841	0.569062301068161	0.637017148134693	0.769870843017651	0.0035233822909485	0.764443005881974	0.921932594846965	0.944733707419888	1	0.0187433531942963	0.999931669548502
FBXO48	0	1	0	0	1	5.21779790285254	0	0	160.198642356072	0.209317197354307	0.832159484631176	0.443184717122176	0.00618026219281041	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0188995315170898	0.999931669548502
WDCP	0	3	2	0	0	3.76907895914638	36.5769449793092	36.5769449793092	0	0.0913908282403142	0.00166618146509989	0.00277586897213211	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0191168306694347	0.999931669548502
MPND	0	3	0	0	1	4.63937766823853	0	0	49.7828450349545	0.0548491404268764	0.720001584569417	0.14477467001378	0.0194608399451798	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0193612214143116	0.999931669548502
ATM	0	7	5	0	0	2.24409085912746	10.3188584423048	10.3188584423048	0	0.156299700154	0.00069571995466533	0.00282654436390017	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0194146863641322	0.999931669548502
ZXDA	0	1	1	0	1	0.956125912671923	28.3165654259245	28.3165654259245	31.238735259434	0.966950624344249	0.0320456815621792	0.0985024827929082	0.0304530311093768	0.981974590286391	0.921932594846965	0.944733707419888	1	0.02042568140789	0.999931669548502
MOSMO	0	1	0	0	1	4.9015197660226	0	0	148.755882187781	0.223876214022202	0.819963172717602	0.463362541258127	0.00665059358933683	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0209005630591894	0.999931669548502
COX19	0	0	0	0	1	0	0	0	274.62624403898	0.634156225816932	0.847890063043525	0.8769993170442	0.00362012081736065	0.790489254479179	0.921932594846965	0.944733707419888	1	0.0214381209266673	0.999931669548502
NTF4	0	4	0	0	0	13.3808931308023	0	0	0	0.000755679021233191	0.848479946405218	0.00333393836746365	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0223493925103498	0.999931669548502
INHA	0	2	0	0	1	5.01536031127291	0	0	68.0953357153874	0.0918145258654756	0.828265790317988	0.23430138210067	0.0143473191545066	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0225070302340075	0.999931669548502
GGN	0	4	0	0	1	4.01518229697336	0	0	38.2710386026756	0.0487140267663598	0.777593266810633	0.135172480631129	0.0250805330801002	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0226698022396821	0.999931669548502
AQP12B	1	2	0	0	1	4.27841233272438	0	0	81.1395721024259	0.118968603925927	0.847421448070461	0.289946716506593	0.0120854075231775	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0233157931409843	0.999931669548502
BCL9L	1	3	0	0	2	1.516811087992	0	0	33.3213176100629	0.562375345411828	0.638296412557488	0.746768933375582	0.00472271174479014	0.762515503866362	0.921932594846965	0.944733707419888	1	0.0234437800326286	0.999931669548502
GRM1	1	6	0	0	1	3.56949555407117	0	0	20.9129608431357	0.0309964706194701	0.654837813103286	0.0837379797262052	0.0444307396289455	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0245328204232892	0.999931669548502
SETSIP	0	0	2	0	0	0	39.9698216277957	39.9698216277957	0	0.405592338954644	0.00138370746773975	0.00376103086592683	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0247591000990125	0.999931669548502
ZNF835	2	4	0	0	1	3.35990404052036	0	0	46.4516509433962	0.071630350207313	0.744925035428727	0.183991760785581	0.0208100954243108	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0251373316245187	0.999931669548502
TECRL	1	2	0	0	1	4.19144409665412	0	0	68.656561009745	0.12349691310193	0.71611081455085	0.281685397857938	0.014232708518101	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0261363333962423	0.999931669548502
LYPD2	1	0	0	0	1	0	0	0	198.341176250374	0.527930438899849	0.874348600767984	0.809524242231275	0.00500129148472811	0.75580179365256	0.921932594846965	0.944733707419888	1	0.0263542600873916	0.999931669548502
ATP6V1C2	0	2	0	0	1	4.33706594105967	0	0	65.4214350982911	0.119850209150694	0.720463621415313	0.275142327112602	0.0149197299075789	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0266645012629568	0.999931669548502
NDUFA6	0	0	0	0	1	0	0	0	193.72859075618	0.524492752590511	0.859009163404312	0.804347580242966	0.00511939111970374	0.755645897340336	0.921932594846965	0.944733707419888	1	0.0267343883990661	0.999931669548502
PABPC5	0	5	0	0	0	9.56556007725697	0	0	0	0.000973710419365892	0.816518560563006	0.0041457356181156	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0268878939998866	0.999931669548502
DNAJC12	0	1	2	0	0	3.84664293384477	39.8941898857033	39.8941898857033	0	0.289536102925372	0.00138920898551509	0.00417519842170699	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0270494129204046	0.999931669548502
KPRP	0	3	0	0	1	4.10784628501758	0	0	43.0879107026675	0.0742125599065998	0.731857483226002	0.187478880864848	0.0223767025271306	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0271587219813266	0.999931669548502
CYLC2	0	2	0	0	1	4.02659251586189	0	0	71.6074160674704	0.136973651703241	0.748590033669623	0.310285740630725	0.0136590114167401	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0273940807273365	0.999931669548502
ZNF573	0	6	0	0	0	7.80768003488869	0	0	0	0.00109151906384031	0.720482757708649	0.00429195121537196	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0276874366080807	0.999931669548502
MRPL17	0	1	0	0	1	3.35432497729144	0	0	141.994251179245	0.333864472077681	0.881231057757035	0.619118614863534	0.00696375026658077	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0277933396819436	0.999931669548502
HBZ	0	0	0	0	1	0	0	0	174.762155297533	0.476116209268199	0.890863016536766	0.768852725512738	0.00566992700710129	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0280542411655162	0.999931669548502
PHLDA2	0	0	0	0	1	0	0	0	163.339792206191	0.423893118459741	0.926592178909497	0.723431555326692	0.00606256733838019	0.754057164758681	0.933882057585487	0.944733707419888	1	0.0281982741134452	0.999931669548502
TEX43	0	0	0	0	1	0	0	0	185.118431167016	0.560915502589201	0.82992651095371	0.825784199526865	0.00535545514372334	0.762460644109878	0.921932594846965	0.944733707419888	1	0.0283968244510983	0.999931669548502
HAVCR1	0	2	0	0	1	4.31809351989415	0	0	62.1666373322069	0.120804961588858	0.76291580327791	0.283416394274132	0.0156812831204035	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0285153966730691	0.999931669548502
MAGEB6	0	5	0	0	0	9.34375494152327	0	0	0	0.00107962533086992	0.789241546796586	0.00449210169132963	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0287738636185231	0.999931669548502
ERICH4	0	0	0	0	1	0	0	0	190.770902347688	0.614458219685658	0.874398875468727	0.870165794862998	0.00519809915696513	0.782311611308527	0.921932594846965	0.944733707419888	1	0.0289418997403784	0.999931669548502
DYNLT2B	0	0	0	0	1	0	0	0	174.762155297533	0.540271722223925	0.817822886107173	0.808037321788634	0.00566992700710129	0.759981426121764	0.921932594846965	0.944733707419888	1	0.0292562846460205	0.999931669548502
HTR1F	1	1	2	0	0	2.04150439392874	43.0311019639062	43.0311019639062	0	0.542869876793794	0.00112969427665044	0.00460192069494403	1	0.760308832731141	0.921932594846965	0.944733707419888	1	0.0293661514883231	0.999931669548502
ERCC6	0	6	0	0	1	3.48837479091903	0	0	16.7275690813569	0.0389029715018195	0.517440750333675	0.0846472930223808	0.054590930515232	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0294686459417766	0.999931669548502
DCHS2	2	13	0	0	1	2.80541200244227	0	0	7.41132509120616	0.0214375702995422	0.428489091799916	0.041550865632867	0.111338064165288	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0294967033951709	0.999931669548502
TRIM77	1	2	2	0	0	3.33086268767655	32.9549422019065	32.9549422019065	0	0.185684800653134	0.00197591090215221	0.00464871657829813	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0296177361847052	0.999931669548502
C12orf40	0	6	0	0	0	7.58715184041714	0	0	0	0.00125742176724641	0.674687322818685	0.00468124946528226	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0297923620873808	0.999931669548502
SAXO2	0	2	0	0	1	4.08806979315301	0	0	62.634055658013	0.133313194352769	0.786169920130029	0.309445440138259	0.0155671708920613	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0305196182528287	0.999931669548502
FAM20A	1	3	0	0	1	3.57397968177365	0	0	46.1088343312678	0.0982828025907436	0.697804731656968	0.231194730176043	0.0209596442471629	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0306719667670545	0.999931669548502
MUC22	0	1	0	0	2	0.540731456070133	0	0	28.1747330412031	0.545405609945387	0.685120634770675	0.774495195169754	0.00637905216058308	0.760308832731141	0.921932594846965	0.944733707419888	1	0.0311762217920313	0.999931669548502
JDP2	0	0	0	0	1	0	0	0	152.384074436263	0.482315346026265	0.838723518375044	0.765977712189378	0.00649389604276488	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0313547155551365	0.999931669548502
SRGN	0	0	0	0	1	0	0	0	157.176026462561	0.521571805952545	0.834523381681582	0.79739757962996	0.00629791221629602	0.755645897340336	0.921932594846965	0.944733707419888	1	0.0316077836272912	0.999931669548502
RXFP3	1	6	0	0	0	7.3136011252024	0	0	0	0.00121285416206129	0.824000466323392	0.0051037766541927	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.032040358897006	0.999931669548502
DGKB	1	1	2	1	0	0.943087958762574	17.2758077563138	17.2758077563138	0	0.956225086029008	0.00127774180997853	0.00512043415468921	1	0.975775118322628	0.921932594846965	0.944733707419888	1	0.032128246274727	0.999931669548502
ARL2BP	0	0	0	0	1	0	0	0	152.384074436263	0.535983877643436	0.773656040293542	0.793389487218027	0.00649389604276488	0.758978559977276	0.921932594846965	0.944733707419888	1	0.032295638670738	0.999931669548502
FAM81B	0	5	0	0	0	8.77142403276515	0	0	0	0.0014231460502675	0.670033856666474	0.00526919605828902	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0329107529911915	0.999931669548502
MYL12B	0	0	0	0	1	0	0	0	144.456579234377	0.506718903170978	0.855734179372224	0.789554037528457	0.00684635374115911	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0336243846049538	0.999931669548502
FTHL17	0	0	0	0	1	0	0	0	135.820588084496	0.459062650438624	0.880476159128257	0.752136781776857	0.00727658950954667	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0339759430805129	0.999931669548502
YRDC	0	3	1	0	0	6.29843236759445	58.3177287933291	58.3177287933291	0	0.0247498081024211	0.014321031902287	0.00551544419725603	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0341968741327451	0.999931669548502
MIOX	0	4	0	0	0	11.4235530435948	0	0	0	0.00136693140095212	0.76470186445342	0.00552698953844233	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0342569001762475	0.999931669548502
HSPB8	1	0	0	0	1	0	0	0	126.857808160138	0.436678390289791	0.818382375354257	0.720615318898187	0.00778427765084449	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0346850290128224	0.999931669548502
TEX50	0	0	0	0	1	0	0	0	140.398810154759	0.520353926738032	0.840284484247792	0.797603083973826	0.00704198981554628	0.755645897340336	0.921932594846965	0.944733707419888	1	0.0347225673493783	0.999931669548502
PCNX1	1	1	2	0	1	0.339443082317084	5.64038896944736	5.64038896944736	10.6707891577913	0.255090935127229	0.0710749274389813	0.0688829878938665	0.0816204943840063	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0347513285508524	0.999931669548502
LTO1	0	3	0	0	0	17.5333119066068	0	0	0	0.0013383760141279	0.828172769807839	0.0056285585336604	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0347839395916838	0.999931669548502
SFT2D3	0	0	0	0	1	0	0	0	115.699019479385	0.371109575400203	0.903548477948524	0.665782154657046	0.00852478298221652	0.754057164758681	0.922508694985052	0.944733707419888	1	0.0350276639507536	0.999931669548502
AXDND1	0	7	0	0	0	6.11057575297395	0	0	0	0.00205127554604923	0.50789100052736	0.00569707511780349	1	0.754057164758681	0.921932594846965	0.944733707419888	1	0.035138433431141	0.999931669548502
TP53INP2	0	0	0	0	1	0	0	0	113.081394604286	0.369716753007463	0.849523785727802	0.657691392274334	0.00871935745126423	0.754057164758681	0.921932594846965	0.944733707419888	1	0.0353324704755633	0.999931669548502
A1CF	0	1	1	0	1	1.45610900938891	10.2823625698455	10.2823625698455	42.0016608530205	0.741002226105509	0.099409084161679	0.252065123869705	0.0229342538909525	0.846356322922222	0.921932594846965	0.944733707419888	1	0.0355711418261581	0.999931669548502
