gene_name	pglobal_cv	qglobal_cv
GGN	0.0236143027973307	0.999938762144604
CR1L	0.0241457349778024	0.999938762144604
MBL2	0.0242467538639748	0.999938762144604
KHDC3L	0.0243075280147452	0.999938762144604
ESX1	0.0254073829603647	0.999938762144604
LYPD2	0.0259233100279597	0.999938762144604
NDUFA6	0.0268314964892907	0.999938762144604
MARCHF2	0.0277979426850694	0.999938762144604
ERICH4	0.0280479215318299	0.999938762144604
HBZ	0.0284935465845988	0.999938762144604
TEX43	0.0286600914870826	0.999938762144604
MAP2K7	0.0288580756812529	0.999938762144604
PHLDA2	0.0290418451604235	0.999938762144604
AVIL	0.0295606382063262	0.999938762144604
DYNLT2B	0.0296627964466142	0.999938762144604
AQP11	0.0297388255173127	0.999938762144604
TUBGCP5	0.0297801840609976	0.999938762144604
COQ8B	0.0314428297001755	0.999938762144604
CD300LF	0.0316754027591161	0.999938762144604
JDP2	0.0319931104689477	0.999938762144604
SRGN	0.032042723618393	0.999938762144604
OR10D3	0.0321113236325293	0.999938762144604
FBXO48	0.0323032820078935	0.999938762144604
ARPC1B	0.0328837238209944	0.999938762144604
HPCAL4	0.0329277607362698	0.999938762144604
ARL2BP	0.0331926025700109	0.999938762144604
NNMT	0.0332149094255458	0.999938762144604
AMER1	0.0342693293214872	0.999938762144604
TTLL7	0.0347970571917441	0.999938762144604
FTHL17	0.0349158462097424	0.999938762144604
KPRP	0.0349675763047728	0.999938762144604
CLPP	0.0355799380784051	0.999938762144604
TEX50	0.035761240482404	0.999938762144604
SFT2D3	0.0358375638743872	0.999938762144604
H2BC6	0.036354153600086	0.999938762144604
HSPB8	0.0364871847941781	0.999938762144604
DHFR2	0.0368954363959833	0.999938762144604
TECRL	0.0369629042674866	0.999938762144604
TCF20	0.0370082557979963	0.999938762144604
TP53INP2	0.0370380078687472	0.999938762144604
CBX5	0.0374608692411774	0.999938762144604
CCDC60	0.0390758616515723	0.999938762144604
PDYN	0.0400791277987991	0.999938762144604
TMEM240	0.0401931091203124	0.999938762144604
OVCA2	0.0402464704365561	0.999938762144604
OR4A15	0.0406747799745892	0.999938762144604
COL18A1	0.0407743125163034	0.999938762144604
MS4A3	0.0407870773255009	0.999938762144604
NDFIP1	0.0411222060815311	0.999938762144604
LACRT	0.0412307893096494	0.999938762144604
DERL3	0.041234095613031	0.999938762144604
ARL10	0.0416018389139077	0.999938762144604
TRH	0.0421880836209192	0.999938762144604
ATP6V1C2	0.0422692725073569	0.999938762144604
GALR3	0.0423393173592093	0.999938762144604
C1orf35	0.0428536066064675	0.999938762144604
INHA	0.0430478514433706	0.999938762144604
GJD3	0.04322867760856	0.999938762144604
RHNO1	0.0434784736002286	0.999938762144604
COQ4	0.0434947832773798	0.999938762144604
IL7	0.0440073075549253	0.999938762144604
SFTPA1	0.0443450070783091	0.999938762144604
PRNP	0.0443757870234759	0.999938762144604
OVOL1	0.044685337262163	0.999938762144604
RNF182	0.0449441148059586	0.999938762144604
CCDC107	0.0452583024129678	0.999938762144604
TEX47	0.0456906682070721	0.999938762144604
FEN1	0.0458909232522876	0.999938762144604
CCDC85A	0.0462559285765659	0.999938762144604
ABO	0.0465253103077616	0.999938762144604
ATOH8	0.0466416206375613	0.999938762144604
LRRC9	0.0472849284271763	0.999938762144604
CD40	0.0474692354720076	0.999938762144604
FUT6	0.047496804896386	0.999938762144604
CCDC69	0.0476841494242378	0.999938762144604
TMEM106B	0.0479753498293354	0.999938762144604
HAVCR1	0.0481806338801599	0.999938762144604
MTMR1	0.0482186374794773	0.999938762144604
SEMA7A	0.0482819675702477	0.999938762144604
A3GALT2	0.0486963113111938	0.999938762144604
SH3BP1	0.04873851035975	0.999938762144604
METTL27	0.0488103104870071	0.999938762144604
PPCS	0.0492105768633406	0.999938762144604
DUS3L	0.0492402091424036	0.999938762144604
RPL5	0.0493327335364455	0.999938762144604
TNR	0.0494481871472072	0.999938762144604
GLOD4	0.0495320862162729	0.999938762144604
ZBTB7A	0.0496023561084372	0.999938762144604
