,Total.Mutations,Cosine.Similarity,L1.Norm,L1_Norm_.,L2.Norm,L2_Norm_.,KL.Divergence,Correlation
ROP-86-ExC85-xgenV2_S56,157,0.946,69.749,44.426%,9.974,33.757%,0.2587,0.924
ROP-89-ExC85-xgenV2_S57,373,0.949,147.325,39.497%,19.45,32.032%,0.17769,0.917
ROP-90-ExC85-xgenV2_S58,2607,0.996,451.949,17.336%,69.297,8.933%,0.06047,0.996
ROP-91-ExC85-xgenV2_S59,34,0.824,32.011,94.15%,5.175,57.148%,1.03534,0.791
ROP-92-ExC85-xgenV2_S60,283,0.95,112.831,39.87%,16.925,31.262%,0.17524,0.93
ROP-93-ExC85-xgenV2_S61,220,0.96,98.282,44.674%,13.924,28.119%,0.25733,0.95
ROP-94-ExC85-xgenV2_S62,230,0.953,109.508,47.612%,15.455,31.99%,0.28335,0.94
ROP-95-ExC85-xgenV2_S63,286,0.972,109.99,38.458%,15.784,23.812%,0.19538,0.966
ROP-96-ExC85-xgenV2_S64,111,0.864,74.972,67.542%,10.672,50.477%,0.4784,0.803
ROP-97-ExC85-xgenV2_S65,238,0.956,97.417,40.932%,13.121,29.774%,0.23364,0.937
ROP-98-ExC85-xgenV2_S66,188,0.949,88.191,46.91%,11.928,31.631%,0.29638,0.93
