,Total.Mutations,Cosine.Similarity,L1.Norm,L1_Norm_.,L2.Norm,L2_Norm_.,KL.Divergence,Correlation
ROP-16-ExC85-xgenV2_S12,55,0.926,51.512,93.658%,13.854,45.7%,1.18975,0.927
ROP-17-ExC85-xgenV2_S13,27,0.818,26.905,99.648%,6.97,57.488%,1.79564,0.805
ROP-18-ExC85-xgenV2_S14,13,0.682,16.84,129.538%,4.189,75.237%,2.15565,0.657
ROP-19-ExC85-xgenV2_S15,20,0.825,22.56,112.8%,4.333,56.895%,1.4064,0.808
ROP-20-ExC85-xgenV2_S16,6,0.244,10.538,175.633%,3.65,105.366%,2.39159,0.201
ROP-24-ExC85-xgenV2_S18,3,0.642,4.148,138.267%,1.357,78.346%,3.47506,0.628
ROP-32-ExC85-xgenV2_S23,5,0.551,6.638,132.76%,1.872,83.718%,2.37098,0.509
ROP-33-ExC85-xgenV2_S24,5,0.599,6.011,120.22%,1.836,82.108%,2.32707,0.567
ROP-34-ExC85-xgenV2_S25,6,0.266,10.596,176.6%,5,98.058%,2.14665,0.241
ROP-36-ExC85-xgenV2_S26,11,0.526,14.421,131.1%,3.906,85.236%,1.73012,0.473
ROP-37-ExC85-xgenV2_S27,3,0.65,3.629,120.967%,1.753,78.397%,1.30069,0.643
ROP-38-ExC85-xgenV2_S28,9,0.636,10.719,119.1%,2.567,77.398%,1.51248,0.59
ROP-42-ExC85-xgenV2_S29,8,0.532,11.736,146.7%,2.679,84.717%,2.08433,0.472
ROP-44-ExC85-xgenV2_S30,6,0.536,7.17,119.5%,2.389,84.464%,1.99239,0.497
ROP-45-ExC85-xgenV2_S31,6,0.798,6.504,108.4%,1.802,63.71%,1.09828,0.79
ROP-46-ExC85-xgenV2_S32,9,0.578,11.151,123.9%,2.461,82.033%,1.50712,0.505
ROP-47-ExC85-xgenV2_S33,4,0.704,4.442,111.05%,1.427,71.35%,2.019,0.687
ROP-50-ExC85-xgenV2_S34,3,0.494,3.925,130.833%,1.55,89.489%,13.97951,0.468
ROP-51-ExC85-xgenV2_S35,8,0.709,9.38,117.25%,2.371,74.978%,1.66057,0.683
ROP-53-ExC85-xgenV2_S36,10,0.583,12.664,126.64%,2.879,83.11%,1.76174,0.523
ROP-54-ExC85-xgenV2_S37,13,0.783,12.945,99.577%,2.729,62.608%,1.27889,0.754
ROP-56-ExC85-xgenV2_S38,7,0.555,7.856,112.229%,2.915,87.891%,1.84076,0.525
ROP-57-ExC85-xgenV2_S39,38,0.869,36.238,95.363%,9.064,55.785%,0.87325,0.868
ROP-58-ExC85-xgenV2_S40,4,0.626,4.228,105.7%,1.581,79.05%,2.81287,0.603
ROP-59-ExC85-xgenV2_S41,5,0.578,6.087,121.74%,2.017,90.203%,2.50457,0.55
ROP-60-ExC85-xgenV2_S42,12,0.644,15.181,126.508%,3.014,80.553%,1.75889,0.587
ROP-61-ExC85-xgenV2_S43,6,0.681,7.144,119.067%,1.806,73.73%,1.32762,0.652
ROP-65-ExC85-xgenV2_S44,104,0.935,98.462,94.675%,35.7,51.876%,0.88048,0.941
ROP-68-ExC85-xgenV2_S45,79,0.917,86.445,109.424%,29.838,55.095%,1.06986,0.923
ROP-69-ExC85-xgenV2_S46,10,0.666,10.344,103.44%,3.08,82.316%,1.15132,0.635
ROP-70-ExC85-xgenV2_S47,7,0.772,8.649,123.557%,2.272,68.503%,1.11152,0.768
ROP-71-ExC85-xgenV2_S48,2,0.765,1.942,97.1%,0.92,65.054%,1.04832,0.759
ROP-73-ExC85-xgenV2_S49,3,0.157,5.382,179.4%,1.917,110.678%,3.85282,0.109
ROP-75-ExC85-xgenV2_S50,7,0.394,10.668,152.4%,3.875,107.473%,2.82759,0.364
ROP-76-ExC85-xgenV2_S51,4,0.293,6.225,155.625%,2.126,106.3%,3.15221,0.245
ROP-78-ExC85-xgenV2_S52,9,0.624,10.692,118.8%,2.606,78.574%,1.98118,0.576
ROP-81-ExC85-xgenV2_S53,5,0.257,8.964,179.28%,4.071,98.736%,2.43799,0.23
ROP-83-ExC85-xgenV2_S54,22,0.937,20.157,91.623%,9.466,80.002%,7.53872,0.939
ROP-85-ExC85-xgenV2_S55,4,0.158,7.134,178.35%,2.24,112.0%,3.89156,0.095
ROP-86-ExC85-xgenV2_S56,5,0.563,7.536,150.72%,2.548,84.933%,1.85675,0.554
ROP-89-ExC85-xgenV2_S57,7,0.278,11.939,170.557%,3.513,117.1%,14.2208,0.225
ROP-90-ExC85-xgenV2_S58,105,0.904,66.833,63.65%,18.088,42.717%,0.55821,0.896
ROP-91-ExC85-xgenV2_S59,4,0.5,5.988,149.7%,3.095,154.75%,4.56729,0.489
ROP-92-ExC85-xgenV2_S60,8,0.676,8.482,106.025%,2.117,74.847%,1.55396,0.634
ROP-93-ExC85-xgenV2_S61,4,0.585,5.52,138.0%,1.626,81.3%,1.91723,0.556
ROP-94-ExC85-xgenV2_S62,13,0.862,14.534,111.8%,3.546,52.861%,1.38595,0.856
ROP-95-ExC85-xgenV2_S63,7,0.482,9.289,132.7%,2.951,98.367%,1.91492,0.442
ROP-96-ExC85-xgenV2_S64,5,0.572,6.719,134.38%,1.834,82.019%,2.06207,0.533
ROP-97-ExC85-xgenV2_S65,5,0.729,5.85,117.0%,1.572,70.302%,1.11588,0.712
ROP-98-ExC85-xgenV2_S66,4,0.566,5.827,145.675%,2.031,82.915%,1.87833,0.547
